composition,band_gap
Cu3Sb1Se4,0.4
Zn1In2S4,2.68
K2Cd3Te4,2.26
In1Sb1,0.22
K2Cu1Nb1S4,2.82
B1As1,1.46
Ba4Ga4Ge1Se12,2.18
Cu1Br1,2.94
Ag1In5Te8,0.47
Cd1S1,2.5
In2Ge1Te3,0.68
Ga1As0.4P0.6,2.1
Cs2Zn1Ge3Se8,2.31
K1Ag1As1S2,2.21
Mn11Si19,0.8
Al1Sb1,1.67
Cs3Sn3F2Cl7,2.96
Cd1Se1,1.75
Cu3Sb1S4,0.75
Ga1As1,1.46
As2Te3,1.76
Cd3As2,0.24
Ge0.3Si0.7,1.0
Cd1P4,1.05
In1Sb1,0.24
Cd1S1,2.6
Ga0.3As0.3Zn0.7Se0.7,1.93
Cd3P2,0.54
Rb1Sb1S2,2.1
Sr2V2Se3O15,2.96
Ga1As1,1.51
Pd1Se2,0.4
Sb1Se1I1,1.66
Na2Te1Se3,1.95
Ba1B6,2.64
Na2S1,2.4
Rb2Cd3Te4,2.3
Ag1I1,2.8
Cd1Se1,1.84
Sn1Se1,1.2
Rb2Ba1Nb2Se11,1.53
In0.2P0.2Ga0.8As0.8,1.58
Ga1Te1,1.8
Ag2Sn1S3,1.43
Sn1Se1,1.3
Cd1Sb1,0.57
Ge1Se1,1.22
In1Sb2S4Cl1,1.8
Ga1S1,2.59
Ag1S1,0.9
Cs2P2Se8,2.44
Y4Ga1Sb1S9,2.06
Zn0.55S0.55Ga0.45P0.45,2.3
Zn0.95S0.95Ga0.05P0.05,2.7
Mg2Sn1,0.32
Ga1.002Sb0.998Te0.006,0.7
K1Sb1Se2,1.14
Ag3As1Se3,1.98
As2Se3,1.84
Nb1Se2,1.4
Rb2Cs1Sb1,1.5
Ge1S1,1.8
Ru1As2,0.8
In1Sb0.99As0.01,0.35
Ga1.1Sb0.9Se0.3,0.67
Si1P1,2.0
K10Fe4Sn4S17,2.2
K4In4P6Se20,2.2
Cd4P2I3,2.17
Cr2S3,0.9
In1Se1,1.32
Na3Sb1,1.1
Ba2Ga1Y1Te5,1.08
Sn1S0.8Se0.2,1.03
Zn2In2S5,2.95
Cs2Zn1Ge3Te8,1.07
Cs1Sb1,0.8
Rb3Cd1B5O10,2.34
Ba2Sb7O14H1,2.7
Ga1S1,2.7
Zn0.15Cd0.85Se1,2.5
Co1P2,0.35
Ba6Ga2Sn1Se11,1.99
Cs1Ag2As1S3,2.7
Mn1O2,1.3
Sb1S1I1,1.97
Cu1Sb1Se2,1.05
Ru1Se2,1.0
Ga1Sb1,0.82
Se1Te1,1.58
Ga1Te1,1.8
Zn1Se1,2.79
Na7Co2O6,0.5
In0.99Al0.01P1,1.3
Cu3Nb1Se4,2.45
Ba4Li1Ga5Se12,2.65
Ga1Se1,2.0
Ag3Sb1S3,2.08
Ga0.4Al0.6P1,2.4
K2Rb1Sb1,1.2
Ga2Te3,1.45
Cd1In2Te4,1.28
Ag1Fe1Te2,0.3
Zn1Se1,2.82
Sb1Se1I1,1.91
Zr1Se3,1.5
In1Sb0.3As0.7,0.11
Cu3As1S4,1.24
Al1Sb1,1.5
Cd4V3Te3O15,2.66
Rb2Cu2Sn1S4,2.08
Cu1Ga1Te2,1.0
Cu0.35Ga1.65S2.65,2.57
Ga2S3,2.85
Si30P16Te8,1.24
