composition,band_gap
Ag8B48Cl48,2.7028
Ag40Te16Br12,0.8722000000000001
Ag30P8S32Cl6,1.288799999999999
Ag4C2O6,0.4736
Ag12Ge6S36O126,2.8072
Ag4Ge2S6,0.4646
Ag8H16S12O48,2.8821
Ag4Mo4O14,1.9011
Ag4P4Pd2O14,1.166799999999999
Ag6P3H3O12,1.3274
Ag16P8Se24,1.186599999999999
Ag4S4O14,2.301599999999999
Ag4S2O8,1.2289
Ag8Se4O12,1.7022
Ag8Se4O12,2.093499999999999
Ag4Se2O8,0.426399999999999
Ag12Sn6S36O126,2.4602
Ag12Te6O24,0.0001
Ag4Te2S6,1.2999
Ag3As1F12,0.099399999999999
Ag3As1F12,0.153999999999999
Ag6As2O8,9.9999999999989e-05
Ag12As4S12,1.627799999999999
Ag6As2S8,0.3576
Ag36As12Se36,0.9037
Ag6F16,0.306899999999999
Ag6Ge10P12,0.5388000000000001
Ag3P11,0.8305999999999991
Ag6P2O8,0.420999999999999
Ag6P2S8,0.9914
Ag6Sb8F48,0.012499999999999
Ag12Sb4S12,1.5142
Ag6Sn4Ge6P12,0.215499999999999
Ag6Sn2P14,0.5034000000000001
Ag16Mo8Se12O64,1.7787000000000002
Ag16P4I4O16,0.9546
Ag16Te4O20,0.004199999999999
Ag16Te4S4O16,0.6883
Ag5P1S4Cl2,1.2689
Ag10P2Se2O8,0.307599999999999
Ag40Te16Cl8,0.198499999999999
Ag28P4Se24,0.7841
Ag32Ge4S24,0.6102000000000001
Ag32Sn4S24,0.535099999999999
Ag16Sn2Se12,0.000999999999999
Ag18P28O56F56,0.026499999999999
Ag2As2S32F12,2.765
Ag2As2Se6F12,1.6736
Ag2As6H4O18,0.8362
Ag1As1F6,1.6805999999999992
Ag2As2O6,0.2921
Ag1Br1,0.730399999999999
Ag1Cl1,0.9522
Ag1Cl1O4,2.3558
Ag6F18,0.208499999999999
Ag4I4,1.3759
Ag4I12O32,2.2937
Ag8I8O24,2.4375
Ag2Mo12Cl26,2.3227
Ag8Mo8P8O48,2.1219
Ag2N2O6,1.853899999999999
Ag8P8O16F16,1.9686
Ag8P8O24,2.0232
Ag1Rh1S2O8,1.1739
Ag4S8O24F8,0.187799999999999
Ag4S4O12F4,2.4337
Ag2Sb2S32F12,2.7813
Ag1Sb2F12,0.5397999999999991
Ag2Sb6I2F48,0.289399999999999
Ag4Sb4F24,1.7739
Ag4Sb4O12,0.094599999999999
Ag4Sb4S8,1.3716
Ag1Sn1F6,0.405599999999999
Ag8Te8O24,1.5732
Al4I12Cl24,1.7285
Al8Se32Cl32,1.1219
Al8Se16Cl32,1.4066
Al8Te16Cl32,1.3271
Al1V4S8,0.3003
Al4C6N12,2.9441
Al4Fe6Si6,0.230299999999999
Al8Cd12Ge12O48,2.9874
Al4Cd2Br16,2.9128
Al2Cd1S4,2.7263
Al2Cd1Se4,2.004699999999999
Al2Cd1Te4,1.6245
Al2Cr3Cu1S8,0.1357
Al4Ru2,0.086399999999999
Al16Sb40Se48Br72,1.801899999999999
Al4Se6,1.8004
Al16Te24,1.854
Al2Te5,1.046099999999999
Al4V2Cl16,0.8418000000000001
Al4Zn2S8,2.4934000000000003
Al2Zn1Se4,2.1529
Al2Zn1Te4,1.625099999999999
Al6B2C2,0.453
Al18B6C18,1.8202999999999991
Al4C3,1.3154
Al4In1Ag1Se8,0.6835
Al5Cu1S8,1.4217
Al6Cd4S1O12,2.7127
Al6Cd4Te1O12,2.5652
Al36Sn6Te60,1.439
Al1Ag1P2Se6,1.6205999999999992
Al2Ag2O4,1.4090999999999991
Al2Ag2S4,1.8992
Al2Ag2Se4,1.135199999999999
Al1Ag1Sn1Se4,1.1072
Al2Ag2Te4,1.0469
Al1As1,1.503699999999999
Al4As12Se16Cl16,2.1167
Al2As6S10Cl8,2.2534
Al4C12N12Cl24,2.5682
Al2Cd2Cl8,2.761
