material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap
mp-32800,Ac16 S24,40,Tetragonal,122,1118.407852007047,6.535149338291522,27.960196300176175,5.79182041,-34.76847769475,-2.492486480437497,False,2.2962
mp-867311,Ac1 Ag1 Te2,4,Cubic,225,122.51840622789024,7.997421189399148,30.62960155697256,6.03109649,-36.20318308,-0.996231785625006,False,0.07939999999999901
mp-866101,Ac1 Cr1 O3,5,Cubic,221,61.36284504026082,8.848788046728616,12.272569008052164,6.3647368,-8.862593228,-3.1389721295,False,2.0031
mp-861502,Ac1 Fe1 O3,5,Cubic,221,61.79731063258672,8.889999465919495,12.359462126517345,6.50904465,-8.258555312000002,-2.771539465500001,False,0.9887999999999991
mp-1183053,Ac1 Ga1 O3,5,Cubic,221,61.455078293307366,9.31449500321555,12.291015658661474,5.47693479,-7.461883426,-3.063252617,False,2.895900000000001
mp-861884,Ac1 Ga1 Te2,4,Cubic,225,127.62295354587478,7.18122937756361,31.905738386468695,5.75964384,-33.8003172675,-1.071641271875002,False,0.49099999999999905
mp-861605,Ac1 H3,4,Cubic,225,49.065716066750646,7.784733821859042,12.266429016687662,6.59472466,-20.422506185,-0.671802030937499,False,0.640699999999999
mp-861867,Ac2 I6,8,Hexagonal,194,465.6364161794002,4.3344198328891235,58.20455202242503,-0.21485256,-3.974306416250002,-1.801003203125001,False,2.5892
mp-861460,Ac1 In1 Te2,4,Cubic,225,133.1005095654828,7.448293892336029,33.2751273913707,6.61702776,-36.6776517175,-1.165022114374998,False,0.3799
mp-866056,Ac2 N2,4,Hexagonal,186,99.88023485516378,8.01361833485228,24.970058713790944,5.27613211,-40.20567818,-1.322563138124998,False,0.0517
mp-865028,Ac1 Tl1 Te2,4,Cubic,225,135.23314933262142,8.430613335203375,33.808287333155356,6.28014726,-4.446217372500001,-1.251402644791669,False,0.6253000000000001
mp-18125,Ag2 Au4 F16,22,Monoclinic,14,312.7943233865305,6.941567477313422,14.21792379029684,-1.9663921,-14.614051521818181,-1.201867790454545,True,0.258499999999999
mp-567334,Ag8 B48 Cl48,104,Cubic,205,1920.521817588254,2.666185535806875,18.466555938348595,0.44599951,-8.609922744615385,-0.736950766538461,True,2.7028
mp-568392,Ag40 Te16 Br12,68,Orthorhombic,63,1688.3369880809976,7.194733997305497,24.8284851188382,2.53642879,-3.067222241470587,-0.366431655490194,False,0.8722000000000001
mp-560328,Ag30 P8 S32 Cl6,76,Cubic,220,1709.5912546710772,4.58713063268096,22.49462177198786,2.45878099,-4.062214611973684,-0.481547749962405,False,1.288799999999999
mp-23558,Ag8 Bi4 O12,24,Orthorhombic,34,366.5717609472597,8.565435840877605,15.273823372802488,3.02670031,-4.9872767174999995,-0.9173112705555521,True,0.38720000000000004
mp-4691,Ag4 C2 O6,12,Monoclinic,11,150.04142135044484,6.103459150948377,12.503451779203736,1.709619,-6.049622620833333,-1.0898853101388881,False,0.4736
mp-1196546,Ag12 Ge6 S36 O126,180,Trigonal,147,2544.8376861250085,3.197653665902322,14.137987145138936,0.45782614,-6.234629919055555,-1.5997551950000002,False,2.8072
mp-861942,Ag4 Ge2 Pb2 S8,16,Orthorhombic,40,364.72549463914106,5.680462312578542,22.795343414946316,3.72941608,-4.371751153750001,-0.549877584791666,False,1.3699
mp-9900,Ag4 Ge2 S6,12,Orthorhombic,36,267.88001723767724,4.7677750672269035,22.323334769806436,2.60005489,-4.253843314166668,-0.46651299513888905,False,0.4646
mp-860963,Ag8 H16 S12 O48,84,Orthorhombic,33,1057.2732554233448,3.1911550258767,12.586586374087439,0.51781943,-5.7852615867857144,-1.449206735634919,False,2.8821
