material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap,is_oxide
mp-567334,Ag8B48Cl48,104,0,205,1920.521817588254,2.666185535806875,18.466555938348595,0.44599951,-8.609922744615385,-0.736950766538461,1.0,2.7028,0.0
mp-568392,Ag40Te16Br12,68,3,63,1688.3369880809976,7.194733997305497,24.8284851188382,2.53642879,-3.067222241470587,-0.366431655490194,0.0,0.8722000000000001,0.0
mp-560328,Ag30P8S32Cl6,76,0,220,1709.5912546710772,4.58713063268096,22.49462177198786,2.45878099,-4.062214611973684,-0.481547749962405,0.0,1.288799999999999,0.0
mp-4691,Ag4C2O6,12,4,11,150.04142135044484,6.103459150948377,12.503451779203736,1.709619,-6.049622620833333,-1.089885310138888,0.0,0.4736,1.0
mp-1196546,Ag12Ge6S36O126,180,6,147,2544.8376861250085,3.197653665902322,14.137987145138936,0.45782614,-6.234629919055555,-1.5997551950000002,0.0,2.8072,1.0
mp-9900,Ag4Ge2S6,12,3,36,267.88001723767724,4.767775067226904,22.32333476980644,2.60005489,-4.253843314166668,-0.466512995138889,0.0,0.4646,0.0
mp-860963,Ag8H16S12O48,84,3,33,1057.2732554233448,3.1911550258767,12.58658637408744,0.51781943,-5.785261586785714,-1.449206735634919,0.0,2.8821,1.0
mp-27966,Ag4Mo4O14,22,5,2,291.2230911313625,5.92560400502563,13.23741323324375,1.41119634,-7.145007251818182,-1.507470650757574,1.0,1.9011,1.0
mp-1190325,Ag4P4Pd2O14,24,4,15,346.0448076380572,4.761192507145591,14.418533651585715,1.53579602,-6.480135952083334,-1.785766681051587,0.0,1.166799999999999,1.0
mp-707138,Ag6P3H3O12,24,6,151,310.71896796293834,4.997597387476359,12.94662366512243,1.40823395,-5.859486359166667,-1.5734414415699391,0.0,1.3274,1.0
mp-13956,Ag16P8Se24,48,3,19,1108.8818421155377,5.793370047018977,23.1017050440737,2.942116249999999,-15.944159909375,-0.169408026902281,0.0,1.186599999999999,0.0
mp-1192057,Ag4S4O14,22,5,2,283.0099298607328,4.598442833041431,12.8640877209424,1.0793688,-5.823396676818183,-1.405367447121212,0.0,2.301599999999999,1.0
mp-5625,Ag4S2O8,14,3,70,190.79392951841285,5.427367859487863,13.628137822743776,1.51506221,-5.487343809999999,-1.25647538940476,0.0,1.2289,1.0
mp-16913,Ag8Se4O12,24,4,14,379.07993911815055,6.00462026596979,15.794997463256273,1.411950319999999,-4.82936551125,-0.8250872030295131,0.0,1.7022,1.0
mp-2748718,Ag8Se4O12,24,4,14,347.44167549186955,6.551404869979988,14.476736478827895,5.86670169,-13.060735159166668,-0.5723392206770821,0.0,2.093499999999999,1.0
mp-11641,Ag4Se2O8,14,3,70,206.56740910925976,5.766886485369779,14.754814936375698,1.05826351,-4.9791975121428536,-0.8401073900967221,0.0,0.426399999999999,1.0
mp-1197599,Ag12Sn6S36O126,180,6,147,2653.4327389864748,3.239771500006885,14.741292994369305,0.59211378,-6.23090771438889,-1.6164815236666672,0.0,2.4602,1.0
mp-558768,Ag12Te6O24,42,4,15,571.3964053953825,7.102537017394162,13.60467631893768,3.10036553,-5.053196220714284,-0.9644783249999972,0.0,0.0001,1.0
mp-29163,Ag4Te2S6,12,4,9,283.64708953369046,5.146247485897094,23.63725746114088,3.06303025,-15.450798160833337,-0.078468853072917,1.0,1.2999,0.0
mp-1229185,Ag3As1F12,16,5,2,257.7727691321683,4.035877863536669,16.11079807076052,-1.54004111,-4.06158381125,-1.8012610570312502,0.0,0.099399999999999,0.0
mp-2749579,Ag3As1F12,16,5,2,223.3297557360757,4.658310798461213,13.958109733504733,-0.39518751,-8.892999968125,-1.625031354218749,0.0,0.153999999999999,0.0
mp-1229124,Ag6As2O8,16,6,161,231.67585647847812,6.630288117256906,14.479741029904886,1.55068626,-5.087854763749999,-0.964007315312498,1.0,9.9999999999989e-05,1.0
mp-561620,Ag12As4S12,28,4,15,609.210655176892,5.393890423250708,21.757523399174715,2.58503439,-14.856800679642856,-0.159635012633925,0.0,1.627799999999999,0.0
mp-9538,Ag6As2S8,16,3,31,361.33783611518703,4.841724156265268,22.58361475719919,2.29666944,-14.004931924375,-0.140537080468748,1.0,0.3576,0.0
mp-662599,Ag36As12Se36,84,3,62,1999.8841113957087,6.3310677588622415,23.80814418328225,2.409090029999999,-3.686177482499999,-0.302367482433035,0.0,0.9037,0.0
mp-562412,Ag6F16,22,4,14,294.2661391457791,5.367513968524786,13.375733597535412,-2.15468164,-9.29583318590909,-1.19802818272727,0.0,0.306899999999999,0.0
mp-17862,Ag6Ge10P12,28,0,217,555.1297730873276,5.220634131745827,19.826063324547416,4.96125876,-13.430468067857143,-0.041898267346937,0.0,0.5388000000000001,0.0
mp-27821,Ag3P11,14,4,8,286.1974227545272,3.854411510979593,20.4426730538948,4.72455039,-11.695485984285714,-0.046166636624148,0.0,0.8305999999999991,0.0
mp-1229128,Ag6P2O8,16,6,161,217.9957698023499,6.376836925513446,13.62473561264687,1.987666,-5.6263685075000005,-1.409352184955356,0.0,0.420999999999999,1.0
mp-12459,Ag6P2S8,16,3,31,343.7950769597486,4.6642434210774,21.487192309984287,2.7710648300000003,-13.406856891875,-0.255643882403273,1.0,0.9914,0.0
mp-1195261,Ag6Sb8F48,62,0,220,1021.0688786695754,4.119700930201005,16.468852881767344,-1.14474359,-4.682545432741935,-2.392955916774192,0.0,0.012499999999999,0.0
mp-555269,Ag12Sb4S12,28,4,14,619.9007608841648,5.802740886522704,22.139312888720173,3.2333898,-16.474797739285712,-0.206377109062497,0.0,1.5142,0.0
mp-17568,Ag6Sn4Ge6P12,28,0,217,599.9749833483756,5.340445300301106,21.4276779767277,5.73255082,-4.531965189285715,-0.03840222770408,0.0,0.215499999999999,0.0
mp-29849,Ag6Sn2P14,22,4,11,440.2562180219747,4.972162214217336,20.01164627372612,5.22235731,-13.879101481363636,-0.076524263257575,0.0,0.5034000000000001,0.0
mp-558550,Ag16Mo8Se12O64,100,3,57,1505.9734552045547,4.923147149080397,15.059734552045548,1.93171076,-6.1359531049000005,-1.227226647047916,1.0,1.7787000000000002,1.0
mp-553924,Ag16P4I4O16,40,4,11,692.4997791575145,6.266635514977661,17.31249447893786,2.56854647,-5.03805461425,-1.227746526880951,0.0,0.9546,1.0
mp-554357,Ag16Te4O20,40,4,15,547.1523718025333,7.757987894218503,13.678809295063331,2.84030266,-4.6967507775,-0.771264614333333,0.0,0.004199999999999,1.0
mp-1199607,Ag16Te4S4O16,40,0,198,722.4627695759586,6.023163941035384,18.061569239398967,2.43873801,-4.8114716125,-0.966945593083332,0.0,0.6883,1.0
mp-559847,Ag5P1S4Cl2,12,3,38,266.6080377505904,4.792626948079725,22.21733647921587,2.11389917,-3.8665948225,-0.543204340248014,0.0,1.2689,0.0
mp-1191916,Ag10P2Se2O8,22,1,129,359.29741372626694,6.59295935333068,16.331700623921225,2.18697744,-5.037792595909091,-1.136163740029084,0.0,0.307599999999999,1.0
mp-573465,Ag40Te16Cl8,64,3,62,1496.0595066727228,7.36996065141199,23.37592979176129,3.23039858,-20.7084073303125,-0.237623175000003,1.0,0.198499999999999,0.0
mp-8594,Ag28P4Se24,56,0,198,1270.0780856995025,6.588463101896856,22.67996581606254,2.3550878600000003,-17.620178441785715,-0.165708605167939,1.0,0.7841,0.0
