composition,band_gap,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,range Column,mean Column,avg_dev Column,mean Row,avg_dev Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,mean NsValence,avg_dev NsValence,mean NpValence,avg_dev NpValence,range NdValence,mean NdValence,avg_dev NdValence,mean NfValence,avg_dev NfValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mean NsUnfilled,avg_dev NsUnfilled,mean NpUnfilled,avg_dev NpUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mean GSbandgap,avg_dev GSbandgap,mean GSmagmom,avg_dev GSmagmom,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber
Hg0.7Cd0.3Te1,0.35,48.0,80.0,32.0,61.2,13.16,52.0,70.0,90.0,20.0,80.35,9.65,200.59,88.179,150.86815,34.805295,127.6,722.66,488.34,532.4749999999999,208.7085,722.66,4.0,14.0,2.0,5.35,0.4549999999999999,132.0,144.0,12.0,136.8,3.3599999999999968,138.0,1.69,2.1,0.4100000000000001,2.0035,0.0965,2.1,2.0,0.0,2.0,2.0,0.0,10.0,0.0,4.9,6.37,26.0,14.0,18.9,4.969999999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,19.495,34.7633333333,15.268333333299996,29.139071839065,5.6242614942349975,0.232,0.2319999999999999,0.0,0.0,42.0,163.2,11.2
Lu1P1,1.3,15.0,71.0,56.0,43.0,28.0,15.0,41.0,83.0,42.0,62.0,21.0,174.9668,143.993038,102.970281,71.996519,30.973762,1936.0,1618.7,1126.65,809.35,317.3,12.0,9.0,6.0,4.5,1.5,107.0,187.0,80.0,147.0,40.0,107.0,1.27,2.19,0.92,1.73,0.4599999999999999,1.27,2.0,0.0,1.5,1.5,1.0,0.5,0.5,7.0,7.0,17.0,12.0,11.0,6.0,0.0,0.0,1.5,1.5,9.0,4.5,4.5,0.0,0.0,0.0,9.0,6.0,6.0,3.0,22.5702380952,28.865,6.294761904799998,25.7176190476,3.147380952399999,0.8125,0.8125,0.00112355,0.00112355,192.0,98.0,96.0
Cu3Sb1Se4,0.4,29.0,51.0,22.0,34.25,4.1875,34.0,64.0,89.0,25.0,79.125,11.34375,121.76,58.214000000000006,78.52975,11.237812499999997,78.96,1357.77,863.77,869.13625,375.13625,494.0,5.0,14.0,2.25,4.125,0.21875,120.0,139.0,19.0,126.875,6.875,120.0,1.9,2.55,0.6499999999999999,2.24375,0.3062499999999999,2.55,1.625,0.46875,2.375,1.78125,0.0,10.0,0.0,0.0,0.0,16.0,5.0,14.0,2.25,0.375,0.46875,1.375,1.03125,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.75,0.5625,11.07,31.56,20.49,21.05625,7.4896875,0.3995,0.3995,0.0,0.0,211.0,112.125,98.125
Pt1Sb2,0.08,51.0,78.0,27.0,60.0,12.0,51.0,63.0,85.0,22.0,77.66666666666667,9.777777777777777,195.084,73.324,146.20133333333334,32.58844444444444,121.76,2041.4,1137.62,1282.986666666667,505.60888888888894,903.78,5.0,13.333333333333334,2.222222222222222,5.333333333333333,0.4444444444444443,136.0,139.0,3.0,138.0,1.3333333333333333,139.0,2.05,2.28,0.2299999999999999,2.1266666666666665,0.1022222222222222,2.05,1.6666666666666667,0.4444444444444444,2.0,1.3333333333333333,1.0,9.666666666666666,0.4444444444444446,4.666666666666667,6.222222222222221,24.0,9.0,18.0,4.0,0.3333333333333333,0.4444444444444445,2.0,1.3333333333333333,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,3.0,1.0,2.6666666666666665,0.4444444444444445,15.02,31.56,16.54,26.046666666666667,7.35111111111111,0.0,0.0,0.0,0.0,59.0,185.66666666666663,26.22222222222221
Zn1In2S4,2.68,16.0,49.0,33.0,27.428571428571427,13.06122448979592,16.0,69.0,88.0,19.0,81.57142857142857,7.346938775510204,114.818,82.753,60.468,32.46057142857143,32.065,692.68,304.31999999999994,443.66,71.14857142857139,388.36,4.0,14.571428571428571,1.6326530612244898,3.7142857142857135,0.8163265306122449,105.0,142.0,37.0,118.0,14.857142857142858,105.0,1.65,2.58,0.9300000000000002,2.218571428571429,0.4130612244897959,2.58,2.0,0.0,2.571428571428572,1.6326530612244898,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,13.0,7.0,8.857142857142858,3.26530612244898,0.0,0.0,2.571428571428572,1.3877551020408163,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,13.96,25.786875,11.826874999999998,23.66107142857143,2.7717346938775504,1.2582857142857142,1.078530612244898,0.0,0.0,124.0,107.42857142857144,42.775510204081634
K2Cd3Te4,2.26,19.0,52.0,33.0,43.333333333333336,10.814814814814811,52.0,3.0,90.0,87.0,64.0,27.11111111111111,127.6,88.5017,102.86995555555556,28.342958024691352,127.6,722.66,386.13,594.0400000000001,114.44888888888885,722.66,15.0,11.333333333333334,4.592592592592592,4.777777777777778,0.345679012345679,138.0,203.0,65.0,154.44444444444446,21.58024691358025,138.0,0.82,2.1,1.2800000000000002,1.6788888888888889,0.3817283950617284,2.1,1.7777777777777777,0.345679012345679,1.7777777777777777,1.9753086419753088,10.0,7.777777777777778,3.45679012345679,0.0,0.0,16.0,15.0,11.333333333333334,4.592592592592592,0.2222222222222222,0.345679012345679,0.8888888888888888,0.9876543209876544,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.1111111111111112,0.7901234567901234,19.495,73.1066666667,53.61166666669999,38.19462962962222,15.5164609053679,0.2062222222222222,0.2291358024691357,0.0,0.0,77.0,183.11111111111111,27.65432098765432
In1Sb1,0.22,49.0,51.0,2.0,50.0,1.0,49.0,75.0,85.0,10.0,80.0,5.0,121.76,6.942000000000007,118.289,3.471000000000004,114.818,903.78,474.03,666.765,237.015,429.75,2.0,14.0,1.0,5.0,0.0,139.0,142.0,3.0,140.5,1.5,139.0,1.78,2.05,0.2699999999999998,1.915,0.1349999999999999,1.78,2.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,15.0,2.0,14.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,24.26,31.56,7.299999999999997,27.91,3.649999999999999,0.0,0.0,0.0,0.0,27.0,152.5,13.5
K2Cu1Nb1S4,2.82,16.0,41.0,25.0,21.5,6.75,16.0,3.0,88.0,85.0,58.625,30.71875,92.90638,60.84138,45.3636225,16.43128375,32.065,2750.0,2413.4700000000003,791.78375,631.0506250000001,388.36,15.0,10.25,5.9375,3.625,0.625,105.0,203.0,98.0,140.25,37.3125,105.0,0.82,2.58,1.7600000000000002,1.9325,0.6475000000000001,2.58,1.5,0.5,2.0,2.0,10.0,1.75,2.625,0.0,0.0,11.0,10.0,5.25,2.1875,0.5,0.5,1.0,1.0,6.0,0.75,1.3125,0.0,0.0,0.0,7.0,6.0,2.25,1.1875,11.07,73.1066666667,62.03666666669999,34.826354166675,19.14015625001249,1.101,1.101,0.0,0.0,159.0,149.0,79.0
Pr1Te2,1.02,52.0,59.0,7.0,54.333333333333336,3.111111111111112,52.0,17.0,90.0,73.0,65.66666666666667,32.44444444444444,140.90765,13.307649999999995,132.03588333333332,5.914511111111106,127.6,1204.0,481.34,883.1066666666666,213.92888888888888,722.66,13.0,11.666666666666666,5.777777777777779,5.333333333333333,0.4444444444444443,138.0,203.0,65.0,159.66666666666666,28.88888888888889,138.0,1.13,2.1,0.9700000000000002,1.7766666666666666,0.4311111111111112,2.1,2.0,0.0,2.6666666666666665,1.777777777777778,10.0,6.666666666666667,4.444444444444444,1.0,1.3333333333333333,16.0,11.0,12.333333333333334,4.888888888888888,0.0,0.0,1.3333333333333333,0.888888888888889,0.0,0.0,0.0,11.0,11.0,3.6666666666666665,11.0,9.0,5.0,4.0,34.7633333333,35.675,0.9116666667000004,35.067222222199995,0.4051851851999994,0.3093333333333333,0.2062222222222222,0.0,0.0,42.0,166.0,18.666666666666668
B1As1,1.46,5.0,33.0,28.0,19.0,14.0,5.0,72.0,84.0,12.0,78.0,6.0,74.9216,64.1106,42.8663,32.0553,10.811,2348.0,1258.0,1719.0,629.0,1090.0,2.0,14.0,1.0,3.0,1.0,84.0,119.0,35.0,101.5,17.5,84.0,2.04,2.18,0.1400000000000001,2.1100000000000003,0.07,2.04,2.0,0.0,2.0,1.0,10.0,5.0,5.0,0.0,0.0,15.0,12.0,9.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,7.1725,22.175,15.0025,14.67375,7.501250000000001,0.762,0.762,0.0,0.0,0.0,166.0,0.0
