Model,Error_Type,C,epsilon,gamma,R²,RMSE,MAE
SVR,Train,10.0,0.1,0.5,0.985056517221881,0.10549028581982901,0.09735191501948379
SVR,Validation,10.0,0.1,0.5,0.14631186334871227,0.782441321806985,0.6408627800657372
SVR,Train,10.0,0.05,0.05,0.956348893216238,0.18029520854428505,0.08031827111380534
SVR,Validation,10.0,0.05,0.05,0.41803298041347536,0.6460280003939126,0.4818254857066724
SVR,Train,25.0,0.07,0.001,0.5074605929211987,0.6056295357115202,0.4398595395761973
SVR,Validation,25.0,0.07,0.001,0.4324059756252966,0.6380005633937151,0.47878415523148055
SVR,Train,1.0,0.1,0.5,0.9421600162701927,0.2075394380097481,0.15166211690040302
SVR,Validation,1.0,0.1,0.5,0.15248570105822645,0.7796068960669116,0.6410212238758695
SVR,Train,1.0,0.05,0.01,0.5989277160862214,0.5465097078468323,0.37027387171250753
SVR,Validation,1.0,0.05,0.01,0.47337168896112813,0.6145458019315421,0.45120243769458596
SVR,Train,0.1,0.07,0.1,0.34825180382149556,0.6966689812177376,0.5619203611798991
SVR,Validation,0.1,0.07,0.1,0.1855995058297456,0.7642248743601547,0.629419089769491
SVR,Train,25.0,0.07,1.0,0.992210527055569,0.07616239491639572,0.06946881636692456
SVR,Validation,25.0,0.07,1.0,0.08092948804095845,0.8118514506321122,0.6773984965500529
SVR,Train,75.0,0.5,0.05,0.7834249895878351,0.4015972472745935,0.3641920741364911
SVR,Validation,75.0,0.5,0.05,0.3762209745366991,0.6688327625439007,0.5241846242650688
SVR,Train,0.1,1.0,0.05,0.23024460672652203,0.7571168741115127,0.6512869478429937
SVR,Validation,0.1,1.0,0.05,0.1625961968636681,0.7749427497385336,0.6561607215212475
SVR,Train,50.0,0.01,0.1,0.9936387839245494,0.06882664961435286,0.01479876024310726
SVR,Validation,50.0,0.01,0.1,0.24254200510186275,0.737023663478973,0.5502695010126925
SVR,Train,1.0,0.05,0.5,0.9482845741465753,0.1962440996514413,0.1179670894543948
SVR,Validation,1.0,0.05,0.5,0.1558677249941388,0.7780498221337062,0.6377077820946497
SVR,Train,1.0,0.1,0.001,0.3790514069462918,0.6800085589820675,0.5274685580072948
SVR,Validation,1.0,0.1,0.001,0.36265077048622774,0.676068789783756,0.5277018134495444
SVR,Train,25.0,0.05,0.5,0.9948394683743247,0.06199173298733924,0.05052735113067247
SVR,Validation,25.0,0.05,0.5,0.1475375822591547,0.7818794083980317,0.6379322852043725
SVR,Train,25.0,1.0,10.0,0.27622652969696904,0.7341552104096654,0.6520605964562326
SVR,Validation,25.0,1.0,10.0,-0.0008123682646197228,0.8471854470690124,0.7177697027360884
SVR,Train,75.0,0.07,0.001,0.5590989686063688,0.5730032862465628,0.40175757174655563
SVR,Validation,75.0,0.07,0.001,0.43808026179194215,0.6348034797538803,0.4692805393924426
SVR,Train,10.0,1.0,0.001,0.3760137684233015,0.6816698077226634,0.566124853888691
SVR,Validation,10.0,1.0,0.001,0.36054977006718003,0.6771821920426263,0.5536958150765221
SVR,Train,10.0,0.01,0.1,0.9820215311403301,0.11570787198149371,0.026185297687815978
SVR,Validation,10.0,0.01,0.1,0.3422403508508247,0.6868086699309065,0.5217589617188925
SVR,Train,100.0,0.01,0.5,0.9983580965608001,0.034967160068613064,0.011635261197231885
SVR,Validation,100.0,0.01,0.5,0.140764656297228,0.784979330594952,0.637741408196075
SVR,Train,50.0,0.05,0.1,0.9910296054728303,0.08173203784334242,0.05197390849492966
SVR,Validation,50.0,0.05,0.1,0.25825003808851055,0.7293414922624138,0.54709891564918
SVR,Train,100.0,0.05,0.1,0.992050470296172,0.07694090203370645,0.05126645655042053
SVR,Validation,100.0,0.05,0.1,0.2467020838357621,0.7349969518106397,0.5511424120629307
SVR,Train,100.0,0.1,0.001,0.5741009047017067,0.5631705215011718,0.39533445229025155
SVR,Validation,100.0,0.1,0.001,0.44258303534799126,0.6322549613727139,0.4669792031832813
SVR,Train,25.0,0.05,0.05,0.9760438807276335,0.13356565205238044,0.0642646046466202
SVR,Validation,25.0,0.05,0.05,0.36546411356006114,0.6745750113821393,0.5031230267682532
SVR,Train,10.0,0.01,0.001,0.4659292539073152,0.6306464426716091,0.46458447424313276
SVR,Validation,10.0,0.01,0.001,0.4140261289734546,0.648248141637603,0.49201094038685894
SVR,Train,25.0,1.0,0.001,0.39640651242381064,0.6704383182291861,0.5574806782328922
SVR,Validation,25.0,1.0,0.001,0.37824487930086514,0.6677468382375759,0.5437680384581735
SVR,Train,75.0,0.01,10.0,0.9983509150025726,0.03504354845283938,0.011598482671270883
SVR,Validation,75.0,0.01,10.0,0.0025276488529092367,0.8457706071078889,0.7152645448204875
SVR,Train,50.0,1.0,0.001,0.4095523519969544,0.6630972912274059,0.5528756365745905
SVR,Validation,50.0,1.0,0.001,0.3845887053663395,0.6643315623608493,0.5411733346121436
