Feature,Importance
MagpieData maximum Electronegativity,0.033434166099452337
MagpieData mean MeltingT,0.02688230588687586
MagpieData mean NdValence,0.019458213288270944
MagpieData maximum MeltingT,0.01788732123276351
MagpieData minimum CovalentRadius,0.01722212530159691
MagpieData maximum NUnfilled,0.017066172002010913
MagpieData mean Row,0.017034168680317586
MagpieData range MeltingT,0.01602776643896656
MagpieData mode Row,0.016007198593052704
MagpieData mode CovalentRadius,0.014949592593757556
