Feature,Importance
MagpieData maximum Electronegativity,0.04349534964251026
MagpieData mean MeltingT,0.03877522389312048
MagpieData mode CovalentRadius,0.0345034473469268
MagpieData minimum CovalentRadius,0.023112073340448125
MagpieData range MeltingT,0.020581089614262395
MagpieData maximum MeltingT,0.020268258432136352
MagpieData mean NpUnfilled,0.01933990043442327
MagpieData avg_dev MeltingT,0.01909012667124083
MagpieData mean NdValence,0.01845864831131621
MagpieData range Electronegativity,0.017188131196769475
