Feature,Importance
maximum Electronegativity_minimum HeatVaporization_div,0.20579043
mode HeatVaporization_maximum Electronegativity_sub,0.16778256
mode HeatVaporization_minimum ThermalConductivity_mul,0.15398344
maximum Electronegativity_log,0.04931157
mode HeatVaporization_minimum ThermalConductivity_add,0.042500354
mode HeatVaporization_maximum Electronegativity_add,0.022459771
mode HeatVaporization,0.020770455
maximum Electronegativity,0.019013023
range NfUnfilled_square,0.016216697
mode HeatVaporization_minimum HeatVaporization_mul,0.011074516
