Model,Train_set,Test_set,R²,RMSE,MAE,MAPE
Single Dummy,dft,dft,-0.00014443889042281555,0.8553652436461042,0.7313958148178733,1481.512621274326
Single Dummy,dft,exp,-0.007969783962452404,0.7944513027022977,0.6751842259973482,175.70693791159286
Single Dummy,dft,mix,-0.001011692949728582,0.8172700960578917,0.6942160596138574,454.2345545204503
Single GBR,dft,dft,0.6715733132237895,0.490161793881261,0.3518112746508776,855.5129151359384
Single GBR,dft,exp,0.16511702710989407,0.723030015499082,0.5800965629717608,70.44244350842106
Single GBR,dft,mix,0.45341170536737596,0.6039155281486291,0.45498712068823555,176.0979642748493
Single LightGBM,dft,dft,0.6584967673493876,0.49982462257777754,0.36236364017905587,1005.7691631216977
Single LightGBM,dft,exp,0.11385229256939278,0.7448976152959789,0.595406883845272,74.42036811549563
Single LightGBM,dft,mix,0.4148227848431586,0.6248700896195847,0.4709522270160449,191.11082962211435
Single XGBoost,dft,dft,0.6647215023279089,0.4952484079549228,0.35310377637066426,898.6565995988792
Single XGBoost,dft,exp,0.11257689570605234,0.7454334731903356,0.5980629127065781,73.46714742165223
Single XGBoost,dft,mix,0.42381704680029864,0.6200493201912449,0.46427875951069053,173.27321262512143
Single RandomForest,dft,dft,0.6339351605239218,0.5174867634425143,0.3877749455028242,920.1343264794837
Single RandomForest,dft,exp,0.23050080049523736,0.6941408623584492,0.5625856048160791,74.88093718759508
Single RandomForest,dft,mix,0.46040619071068756,0.6000390465266454,0.46629536301099767,181.8588889752864
Single ExtraRandomTrees,dft,dft,0.6543200387942518,0.5028718665844656,0.365267834300868,834.6544035086828
Single ExtraRandomTrees,dft,exp,0.2213793336811528,0.6982428354032508,0.5661579295449374,71.45003870226455
Single ExtraRandomTrees,dft,mix,0.4676529465984459,0.5959961582956265,0.45510206485494886,176.1551487993588
Single KernelRidge,dft,dft,0.5472908351202196,0.5754795303874964,0.4364085108668586,958.2860702536234
Single KernelRidge,dft,exp,0.08404134187817835,0.7573235480720593,0.6086272128375354,82.6118368559412
Single KernelRidge,dft,mix,0.33508676697680173,0.666083263263361,0.5167467707029766,181.3162309469767
Single SVR,dft,dft,0.5349129972575725,0.5832937710706255,0.41310460853656167,1058.885176033649
Single SVR,dft,exp,-0.05582499399242202,0.8130916368776671,0.6589718768955193,101.79062813042918
Single SVR,dft,mix,0.25623604818294166,0.70447177214802,0.5321371158897642,141.49117676427505
Single Dummy,exp,exp,-0.02014478872489267,0.7992348864348513,0.6794439167578938,181.01399475832528
Single Dummy,exp,dft,-0.001346902094128355,0.8558792875304879,0.7314421153181347,1523.8057573636413
Single Dummy,exp,mix,-0.006858913587106885,0.8196535848620944,0.6962312474510057,467.33844888445964
Single GBR,exp,exp,0.7274460526449396,0.41311385723160393,0.29103308145783036,54.4784817536625
Single GBR,exp,dft,-0.038580920972403066,0.8716465334605663,0.6865856060136615,1510.2944411471506
Single GBR,exp,mix,0.31381288923501116,0.6766550246532903,0.4821809903185293,318.79476193238514
Single LightGBM,exp,exp,0.7256279631954119,0.4144894189942767,0.28949082776108975,54.52346945655175
Single LightGBM,exp,dft,-0.07156296144032015,0.8853787293096537,0.6906294558965461,1552.0332027883671
Single LightGBM,exp,mix,0.3005891990069891,0.6831439090494323,0.48390745582586175,351.5340894117272
Single XGBoost,exp,exp,0.7107855781550301,0.42555284427535445,0.29413124958148584,54.805890818045924
Single XGBoost,exp,dft,-0.07059474631456975,0.8849786451166832,0.6931204071952213,1542.3233414922327
Single XGBoost,exp,mix,0.28310642587365187,0.6916292897346908,0.4907948464524116,376.67856043352566
Single RandomForest,exp,exp,0.7039379249167543,0.4305612231620568,0.30683330134483927,62.37070961497333
Single RandomForest,exp,dft,0.04022534780002329,0.8379244735203681,0.6674820162968953,1582.2239237091676
Single RandomForest,exp,mix,0.35181077377759284,0.6576531992992867,0.48068295092602803,355.4091408516916
Single ExtraRandomTrees,exp,exp,0.7184640994155177,0.41986571812794315,0.2996224657561812,59.38991796548675
Single ExtraRandomTrees,exp,dft,0.006788528082902978,0.8523954067170225,0.6768382333957238,1576.3327925377432
Single ExtraRandomTrees,exp,mix,0.3355982935316617,0.6658270006300102,0.4826251870241387,366.17533316048963
Single KernelRidge,exp,exp,0.6872047845361958,0.4425614440731258,0.3096192870814031,58.58062893764734
Single KernelRidge,exp,dft,-0.1369879992384948,0.9120070123422551,0.7192270150375606,1530.1145573645445
Single KernelRidge,exp,mix,0.2313394825649342,0.7161653750480668,0.5102625454691856,405.1268481595389
Single SVR,exp,exp,0.6303213347829051,0.4811225565942929,0.33215910754249034,61.671490406792095
Single SVR,exp,dft,-0.18306287645150054,0.9303024197673708,0.738358250528378,1609.0118491838352
Single SVR,exp,mix,0.19485393780654225,0.7329652238967997,0.5266535717490071,414.17012747459347
