Model,Train_set,Test_set,R²,RMSE,MAE,MAPE
GBR,dft,dft,0.6476737069943801,0.505344568403194,0.3608999613542165,261.36178949254645
GBR,dft,exp,-0.02907007064844591,0.7600286594560159,0.6188645866292578,43.67751312181704
GBR,dft,mix,0.39057397852472364,0.6249333449275292,0.47114615490850525,81.34712432739164
LightGBM,dft,dft,0.6150922774764445,0.5281939071510684,0.3807423278955081,264.3605732171558
LightGBM,dft,exp,-0.16046655140174315,0.807093424356874,0.6526562849230484,46.69403755731547
LightGBM,dft,mix,0.3274143972543121,0.6565185241597653,0.48949834652457574,88.04696121043007
XGBoost,dft,dft,0.6536413660161337,0.5010465591008247,0.3588548622068139,247.9369167466615
XGBoost,dft,exp,-0.08412024355619696,0.7800927153919739,0.6394060466071563,46.181773593463085
XGBoost,dft,mix,0.3822429423338082,0.6291903586216285,0.4741233407362174,83.1874674825991
RandomForest,dft,dft,0.6256384284156794,0.5209076144130136,0.39339435154847874,279.12903406605903
RandomForest,dft,exp,0.014233978833369743,0.7438655010893889,0.6070219381044772,42.53200740407071
RandomForest,dft,mix,0.4018202147188612,0.6191402917411956,0.48261025021676035,92.93635545919638
ExtraRandomTrees,dft,dft,0.6464915470124045,0.5061916494532821,0.3762241981768954,274.2057628734444
ExtraRandomTrees,dft,exp,0.024221585383717548,0.7400875506611,0.6004296257213934,41.741381504639854
ExtraRandomTrees,dft,mix,0.4191672608134419,0.6100967972271706,0.46802817451612916,91.59297540591852
KNN,dft,dft,0.5224666242900439,0.5883245079318913,0.45937137661347716,302.52102295027197
KNN,dft,exp,0.08522304803245295,0.7165806924949654,0.5921510382920897,44.68679957275136
KNN,dft,mix,0.3709735534529318,0.6349034014600006,0.5067803462718404,108.32814271763496
KernelRidge,dft,dft,0.5677514249657634,0.559734221578567,0.4206456090694378,251.08469056971705
KernelRidge,dft,exp,-0.04259281640744628,0.7650060320326434,0.6369384601683232,45.61926702597392
KernelRidge,dft,mix,0.34968963132639885,0.6455554329791,0.5071703787582044,91.13227856417389
SVR,dft,dft,0.5147869848508445,0.5930363249029811,0.42690544083714504,219.29465583261484
SVR,dft,exp,-0.0754624792535521,0.7769715685153439,0.6489516044804879,48.992679930977886
SVR,dft,mix,0.31049394960161036,0.6647253508857213,0.5098506172179942,90.44633013457218
GBR,exp,exp,0.7196447691365535,0.39669965904904325,0.2804074843872392,28.657247044520474
GBR,exp,dft,0.08377463916539574,0.8149223507440395,0.6578011462873513,471.6029598345985
GBR,exp,mix,0.2939444760297597,0.6726553934833107,0.5054393359948858,164.32455342940807
LightGBM,exp,exp,0.6723012142259637,0.42888900373057975,0.29812774478355186,28.48162440556771
LightGBM,exp,dft,0.05831086527302687,0.8261689231315836,0.6570739980586908,438.8742737089549
LightGBM,exp,mix,0.2612620773304465,0.688047463474562,0.5129471432381054,151.7285573102899
XGBoost,exp,exp,0.7035955060000341,0.40789641416260447,0.2872699784289545,29.205190490337923
XGBoost,exp,dft,0.06349576866591966,0.8238913569344574,0.6555672001710868,475.5864842716317
XGBoost,exp,mix,0.2725873835051623,0.6827529981017526,0.5052899206957082,166.75748846518314
RandomForest,exp,exp,0.6990127679048946,0.4110375819026338,0.3030938145852161,32.701264701550926
RandomForest,exp,dft,0.06626626674495462,0.8226717788396678,0.6663329304523451,472.8033737534463
RandomForest,exp,mix,0.2644292904575877,0.686570935979704,0.5185666044619262,178.63050949455035
ExtraRandomTrees,exp,exp,0.7216837581196618,0.3952544527290037,0.2851393396210186,29.98158656751962
ExtraRandomTrees,exp,dft,0.1220111864551876,0.7977366888369581,0.6428416821105263,453.7225305766615
ExtraRandomTrees,exp,mix,0.30229770023054914,0.6686645180828052,0.5013673038541062,162.71113118240157
KNN,exp,exp,0.5282963756176278,0.5145672029115799,0.3859196214662583,35.11542905122926
KNN,exp,dft,-0.08338441233360472,0.8861482134986958,0.7035792665975348,499.94468247005034
KNN,exp,mix,0.10786746473258613,0.7561150634096315,0.5749638798907546,161.0703765581412
KernelRidge,exp,exp,0.7159756475001049,0.39928710480708146,0.2889154843504914,28.925046717222614
KernelRidge,exp,dft,-0.04461104933299609,0.8701465097984121,0.6918423225326052,493.109360635043
KernelRidge,exp,mix,0.1751366575526212,0.7270498732194198,0.538021026343412,147.92847899140068
SVR,exp,exp,0.6836697418947186,0.42138382719974193,0.3070677862949995,27.93846197823789
SVR,exp,dft,-0.1648478295052369,0.9188606900968426,0.7215813429572485,508.6475036194947
SVR,exp,mix,0.049497974522758614,0.7804583376492713,0.563812815594088,150.7710097077828
